SF,Support
1.25.40.10,58907
3.40.50.300,27918
2.60.40.10,26258
2.130.10.10,25805
3.80.10.10,23046
1.25.40.20,22379
3.40.190.10,21309
3.40.50.720,19154
3.40.50.2000,18001
3.30.160.60,15979
1.10.10.10,15123
3.40.50.2300,14971
1.25.10.10,14129
3.30.420.40,11728
3.30.450.20,10945
1.20.1250.20,9727
3.40.50.1820,9428
3.40.50.150,8742
1.10.510.10,8581
1.10.287.470,8318
3.50.50.60,8037
2.40.50.100,7877
3.30.200.20,7455
2.150.10.10,6963
2.60.120.260,6624
3.90.1150.10,6004
2.160.20.10,5916
2.40.50.140,5749
2.120.10.30,5528
2.30.40.10,5519
1.10.10.60,5464
3.40.630.30,5410
3.40.50.1000,5364
2.60.120.200,5295
2.40.10.10,5239
1.10.238.10,5202
3.30.420.10,5115
3.20.20.80,5024
1.20.1560.10,4825
3.40.30.10,4624
1.20.1070.10,4560
1.10.287.1490,4555
1.10.260.40,4319
2.60.120.10,4235
3.30.450.40,4217
3.30.70.270,4066
3.20.20.70,4024
3.20.20.140,3803
1.10.150.240,3704
3.40.1110.10,3698
