pLDDT_threshold,Lost_SF_count,Nb_SF_remaining,Training_set_size,Top_50_filtering,Support_threshold,F1_Score
0,32,1740,901437,False,0,0.7998015822745543
4,32,1740,901437,False,0,0.8000257096040586
14,32,1740,901437,False,0,0.8035081827427621
24,32,1740,901429,False,0,0.8058135440386279
34,33,1739,900452,False,0,0.8020175102160588
44,33,1739,887929,False,0,0.8039287603061724
54,34,1738,845285,False,0,0.802677344965979
64,36,1736,762164,False,0,0.7976049833341101
74,54,1718,627412,False,0,0.7781292641159113
84,125,1647,388478,False,0,0.7205398699740183
0,1722,50,456585,True,0,0.96961548517318
4,1722,50,456585,True,0,0.9714627989937692
14,1722,50,456585,True,0,0.9676384767049864
24,1722,50,456585,True,0,0.969226952930426
34,1722,50,456184,True,0,0.9668159414757552
44,1722,50,449897,True,0,0.967214182549165
54,1722,50,427373,True,0,0.9662369853320552
64,1722,50,384638,True,0,0.9686692883762468
74,1722,50,316649,True,0,0.967856748490093
84,1722,50,192677,True,0,0.9642115486281644
0,172,1600,900813,False,10,0.8796554083159507
4,172,1600,900813,False,10,0.8699347090311553
14,172,1600,900813,False,10,0.8693712570425758
24,172,1600,900805,False,10,0.8702763479838168
34,172,1600,899832,False,10,0.8760743955474297
44,172,1600,887321,False,10,0.8612509046609693
54,172,1600,844702,False,10,0.8610744549143703
64,173,1599,761630,False,10,0.8622985870352878
74,176,1596,626974,False,10,0.8373966149335204
84,213,1559,388204,False,10,0.7972677630498749
